"Season","Site","CoreName","CoreNo","SOD","Age","Habitat"
"Summer","IMS","LO",1,83.2057637533333,0,"oyster"
"Summer","IMS","LO",2,152.731496566667,0,"oyster"
"Summer","IMS","LO",3,128.989992,0,"oyster"
"Summer","IMS","HO",1,223.0017411,0,"oyster"
"Summer","IMS","HO",2,168.960169966667,0,"oyster"
"Summer","IMS","HO",3,81.99714208,0,"oyster"
"Summer","IMS","MM",1,1886.421265,0,"marsh"
"Summer","IMS","MM",2,1646.05266333333,0,"marsh"
"Summer","IMS","MM",3,1509.22795233333,0,"marsh"
"Summer","IMS","Ref",1,1614.03417266667,0,"Ref"
"Summer","IMS","Ref",2,104.61728631,0,"Ref"
"Summer","IMS","Ref",3,1422.14045233333,0,"Ref"
"Summer","Carrot","LO",1,638.229770833333,2,"oyster"
"Summer","Carrot","LO",2,640.749852966667,2,"oyster"
"Summer","Carrot","LO",3,308.398851566667,2,"oyster"
"Summer","Carrot","HO",1,799.966805433333,2,"oyster"
"Summer","Carrot","HO",2,1341.203383,2,"oyster"
"Summer","Carrot","HO",3,808.867146433333,2,"oyster"
"Summer","Carrot","LM",1,201.270330566667,2,"marsh"
"Summer","Carrot","LM",2,435.0062699,2,"marsh"
"Summer","Carrot","LM",3,311.368919433333,2,"marsh"
"Summer","Carrot","MM",1,1770.7145,2,"marsh"
"Summer","Carrot","MM",2,1790.99198166667,2,"marsh"
"Summer","Carrot","MM",3,1695.827602,2,"marsh"
"Summer","Carrot","HM",1,1786.822557,2,"marsh"
"Summer","Carrot","HM",2,1718.73514266667,2,"marsh"
"Summer","Carrot","HM",3,1882.279722,2,"marsh"
"Summer","Carrot","Ref",1,212.766521633333,2,"Ref"
"Summer","Carrot","Ref",2,228.2309114,2,"Ref"
"Summer","Carrot","Ref",3,313.236917133333,2,"Ref"
"Summer","NOAA","LO",1,882.337769466667,7,"oyster"
"Summer","NOAA","LO",2,1943.787105,7,"oyster"
"Summer","NOAA","LO",3,2147.14797633333,7,"oyster"
"Summer","NOAA","HO",1,1186.57196533333,7,"oyster"
"Summer","NOAA","HO",2,1070.75177766667,7,"oyster"
"Summer","NOAA","HO",3,837.518227433333,7,"oyster"
"Summer","NOAA","LM",1,1673.279067,7,"marsh"
"Summer","NOAA","LM",2,2264.45121933333,7,"marsh"
"Summer","NOAA","LM",3,2288.21007033333,7,"marsh"
"Summer","NOAA","MM",1,1614.72721566667,7,"marsh"
"Summer","NOAA","MM",2,2299.933852,7,"marsh"
"Summer","NOAA","MM",3,2014.34990866667,7,"marsh"
"Summer","NOAA","HM",1,1574.286948,7,"marsh"
"Summer","NOAA","HM",2,1585.243263,7,"marsh"
"Summer","NOAA","HM",3,1776.418505,7,"marsh"
"Summer","NOAA","Ref",1,614.767142566667,7,"Ref"
"Summer","NOAA","Ref",2,1348.728112,7,"Ref"
"Summer","NOAA","Ref",3,660.756760326667,7,"Ref"
"Summer","Army","LO",1,1415.603989475,20,"oyster"
"Summer","Army","LO",2,2727.9401615,20,"oyster"
"Summer","Army","LO",3,2464.40411175,20,"oyster"
"Summer","Army","HO",1,792.50216785,20,"oyster"
"Summer","Army","HO",2,579.402906475,20,"oyster"
"Summer","Army","HO",3,355.35576255,20,"oyster"
"Summer","Army","LM",1,2214.3724175,20,"marsh"
"Summer","Army","LM",2,2564.044381,20,"marsh"
"Summer","Army","LM",3,2805.1432295,20,"marsh"
"Summer","Army","MM",1,2153.09284875,20,"marsh"
"Summer","Army","MM",2,2436.5560635,20,"marsh"
"Summer","Army","MM",3,2089.89912975,20,"marsh"
"Summer","Army","HM",1,2387.9492145,20,"marsh"
"Summer","Army","HM",2,2825.1130685,20,"marsh"
"Summer","Army","HM",3,2190.41904525,20,"marsh"
"Summer","Army","Ref",1,271.2470496,20,"Ref"
"Summer","Army","Ref",2,632.08547735,20,"Ref"
"Summer","Army","Ref",3,446.208530375,20,"Ref"
"Fall","IMS","LO",1,386.378965866667,0,"oyster"
"Fall","IMS","LO",2,1533.11665133333,0,"oyster"
"Fall","IMS","LO",3,650.8104419,0,"oyster"
"Fall","IMS","HO",1,1076.67361323333,0,"oyster"
"Fall","IMS","HO",2,662.8843621,0,"oyster"
"Fall","IMS","HO",3,885.7105171,0,"oyster"
"Fall","IMS","MM",1,844.188749933333,0,"marsh"
"Fall","IMS","MM",2,443.895534,0,"marsh"
"Fall","IMS","MM",3,919.820534166667,0,"marsh"
"Fall","IMS","Ref",1,539.603395233333,0,"Ref"
"Fall","IMS","Ref",2,845.824087866667,0,"Ref"
"Fall","IMS","Ref",3,872.9589067,0,"Ref"
"Fall","IMS","LoRef",1,636.919969433333,0,"LoRef"
"Fall","IMS","HiRef",1,618.3580753,0,"HiRef"
"Fall","Carrot","LO",1,420.835434033333,2,"oyster"
"Fall","Carrot","LO",2,419.2143647,2,"oyster"
"Fall","Carrot","LO",3,168.381649766667,2,"oyster"
"Fall","Carrot","HO",1,231.494997133333,2,"oyster"
"Fall","Carrot","HO",2,194.3352458,2,"oyster"
"Fall","Carrot","HO",3,228.449471833333,2,"oyster"
"Fall","Carrot","LM",1,148.265387333333,2,"marsh"
"Fall","Carrot","LM",2,155.913438833333,2,"marsh"
"Fall","Carrot","LM",3,143.942229033333,2,"marsh"
"Fall","Carrot","MM",1,290.227978233333,2,"marsh"
"Fall","Carrot","MM",2,426.3002537,2,"marsh"
"Fall","Carrot","MM",3,64.6580012033333,2,"marsh"
"Fall","Carrot","HM",1,96.9550348766667,2,"marsh"
"Fall","Carrot","HM",2,104.250637693333,2,"marsh"
"Fall","Carrot","HM",3,272.341807666667,2,"marsh"
"Fall","Carrot","Ref",1,105.284619186667,2,"Ref"
"Fall","Carrot","Ref",2,185.0083242,2,"Ref"
"Fall","Carrot","Ref",3,111.055105233333,2,"Ref"
"Fall","Carrot","LoRef",1,166.798276766667,2,"LoRef"
"Fall","Carrot","HiRef",1,272.5675314,2,"HiRef"
"Fall","NOAA","LO",1,1004.42571462,7,"oyster"
"Fall","NOAA","LO",2,1698.298346,7,"oyster"
"Fall","NOAA","LO",3,830.42410258,7,"oyster"
"Fall","NOAA","HO",1,1203.52977348,7,"oyster"
"Fall","NOAA","HO",2,930.88485042,7,"oyster"
"Fall","NOAA","HO",3,1214.9541148,7,"oyster"
"Fall","NOAA","LM",1,1600.6880752,7,"marsh"
"Fall","NOAA","LM",2,917.94761724,7,"marsh"
"Fall","NOAA","LM",3,1087.19743902,7,"marsh"
"Fall","NOAA","MM",1,1096.094157,7,"marsh"
"Fall","NOAA","MM",2,1518.8402758,7,"marsh"
"Fall","NOAA","MM",3,1454.68041,7,"marsh"
"Fall","NOAA","HM",1,985.84409332,7,"marsh"
"Fall","NOAA","HM",2,1533.7673956,7,"marsh"
"Fall","NOAA","HM",3,2133.029283,7,"marsh"
"Fall","NOAA","Ref",1,1362.9268888,7,"Ref"
"Fall","NOAA","Ref",2,1222.56307694,7,"Ref"
"Fall","NOAA","Ref",3,1708.191902,7,"Ref"
"Fall","NOAA","LoRef",1,730.9077976,7,"LoRef"
"Fall","NOAA","HiRef",1,523.12652194,7,"HiRef"
"Fall","Army","LO",1,53.7088921756667,20,"oyster"
"Fall","Army","LO",2,317.834731633333,20,"oyster"
"Fall","Army","LO",3,313.123913866667,20,"oyster"
"Fall","Army","HO",1,183.220352866667,20,"oyster"
"Fall","Army","HO",2,248.496728766667,20,"oyster"
"Fall","Army","HO",3,403.432453633333,20,"oyster"
"Fall","Army","LM",1,249.7175004,20,"marsh"
"Fall","Army","LM",2,361.095361266667,20,"marsh"
"Fall","Army","LM",3,141.113153836667,20,"marsh"
"Fall","Army","MM",1,423.795779233333,20,"marsh"
"Fall","Army","MM",2,752.5904237,20,"marsh"
"Fall","Army","MM",3,257.956551133333,20,"marsh"
"Fall","Army","HM",1,782.759657466667,20,"marsh"
"Fall","Army","HM",2,265.164915733333,20,"marsh"
"Fall","Army","HM",3,913.6321334,20,"marsh"
"Fall","Army","Ref",1,114.559193203333,20,"Ref"
"Fall","Army","Ref",2,311.6109015,20,"Ref"
"Fall","Army","Ref",3,391.900674966667,20,"Ref"
"Fall","Army","LoRef",1,216.51061738,20,"LoRef"
"Fall","Army","HiRef",1,254.5437816,20,"HiRef"
"Winter","IMS","LO",1,103.243517038,0,"oyster"
"Winter","IMS","LO",2,93.52312233,0,"oyster"
"Winter","IMS","LO",3,135.83132614,0,"oyster"
"Winter","IMS","HO",1,54.277568922,0,"oyster"
"Winter","IMS","HO",2,48.388110824,0,"oyster"
"Winter","IMS","HO",3,72.569057506,0,"oyster"
"Winter","IMS","MM",1,587.35801192,0,"marsh"
"Winter","IMS","MM",2,446.56173442,0,"marsh"
"Winter","IMS","MM",3,132.71444522,0,"marsh"
"Winter","IMS","Ref",1,140.820515918,0,"Ref"
"Winter","IMS","Ref",2,132.88134678,0,"Ref"
"Winter","IMS","Ref",3,148.78847246,0,"Ref"
"Winter","IMS","LoRef",1,72.865969108,0,"LoRef"
"Winter","IMS","HiRef",1,463.39829282,0,"HiRef"
"Winter","Carrot","LO",1,232.45448445,2,"oyster"
"Winter","Carrot","LO",2,305.5187148,2,"oyster"
"Winter","Carrot","LO",3,513.2182337,2,"oyster"
"Winter","Carrot","HO",1,45.8927599675,2,"oyster"
"Winter","Carrot","HO",3,1018.57029285,2,"oyster"
"Winter","Carrot","LM",1,71.3419005525,2,"marsh"
"Winter","Carrot","LM",2,119.4898386375,2,"marsh"
"Winter","Carrot","LM",3,67.783498195,2,"marsh"
"Winter","Carrot","MM",1,71.5176515025,2,"marsh"
"Winter","Carrot","MM",2,48.1531515375,2,"marsh"
"Winter","Carrot","MM",3,221.6328216,2,"marsh"
"Winter","Carrot","HM",1,56.784124115,2,"marsh"
"Winter","Carrot","HM",2,148.254241875,2,"marsh"
"Winter","Carrot","HM",3,296.403419125,2,"marsh"
"Winter","Carrot","Ref",1,44.403101375,2,"Ref"
"Winter","Carrot","Ref",2,23.8343358425,2,"Ref"
"Winter","Carrot","Ref",3,71.7969703325,2,"Ref"
"Winter","Carrot","LoRef",1,108.7843416725,2,"LoRef"
"Winter","Carrot","HiRef",1,127.31750465,2,"HiRef"
"Winter","NOAA","LO",1,318.20940862,7,"oyster"
"Winter","NOAA","LO",2,434.94277092,7,"oyster"
"Winter","NOAA","LO",3,806.91920968,7,"oyster"
"Winter","NOAA","HO",1,1201.0219276,7,"oyster"
"Winter","NOAA","HO",2,754.3811584,7,"oyster"
"Winter","NOAA","HO",3,1361.8605176,7,"oyster"
"Winter","NOAA","LM",1,530.97953186,7,"marsh"
"Winter","NOAA","LM",2,955.45772146,7,"marsh"
"Winter","NOAA","LM",3,820.7005297,7,"marsh"
"Winter","NOAA","MM",1,611.22617442,7,"marsh"
"Winter","NOAA","MM",2,527.51370668,7,"marsh"
"Winter","NOAA","MM",3,567.17594212,7,"marsh"
"Winter","NOAA","HM",1,328.53218814,7,"marsh"
"Winter","NOAA","HM",2,136.27040259,7,"marsh"
"Winter","NOAA","HM",3,309.90258372,7,"marsh"
"Winter","NOAA","Ref",1,516.86330104,7,"Ref"
"Winter","NOAA","Ref",2,405.61460546,7,"Ref"
"Winter","NOAA","Ref",3,341.55527174,7,"Ref"
"Winter","NOAA","LoRef",1,1122.9622798,7,"LoRef"
"Winter","NOAA","HiRef",1,354.8386264,7,"HiRef"
"Winter","Army","LO",1,56.019246612,20,"oyster"
"Winter","Army","LO",2,136.34559802,20,"oyster"
"Winter","Army","LO",3,69.37771547,20,"oyster"
"Winter","Army","HO",1,64.914630904,20,"oyster"
"Winter","Army","HO",2,34.539753026,20,"oyster"
"Winter","Army","HO",3,86.311373352,20,"oyster"
"Winter","Army","LM",1,72.2169721,20,"marsh"
"Winter","Army","LM",2,82.257789836,20,"marsh"
"Winter","Army","LM",3,61.584793738,20,"marsh"
"Winter","Army","MM",1,302.29767122,20,"marsh"
"Winter","Army","MM",2,60.953922062,20,"marsh"
"Winter","Army","MM",3,40.20268801,20,"marsh"
"Winter","Army","HM",1,134.36902142,20,"marsh"
"Winter","Army","HM",2,35.621789334,20,"marsh"
"Winter","Army","HM",3,72.861072456,20,"marsh"
"Winter","Army","Ref",1,69.169298458,20,"Ref"
"Winter","Army","Ref",2,96.604852584,20,"Ref"
"Winter","Army","Ref",3,445.35523006,20,"Ref"
"Winter","Army","LoRef",1,68.41928449,20,"LoRef"
"Winter","Army","HiRef",1,79.563346328,20,"HiRef"
"Spring","IMS","LO",1,841.6360516,0,"oyster"
"Spring","IMS","LO",2,1948.2647102,0,"oyster"
"Spring","IMS","LO",3,1376.2516886,0,"oyster"
"Spring","IMS","HO",1,2461.2417384,0,"oyster"
"Spring","IMS","HO",2,1191.7107214,0,"oyster"
"Spring","IMS","HO",3,776.43697126,0,"oyster"
"Spring","IMS","MM",1,1483.7144596,0,"marsh"
"Spring","IMS","MM",2,1256.1984156,0,"marsh"
"Spring","IMS","MM",3,1290.696212,0,"marsh"
"Spring","IMS","Ref",1,613.66278738,0,"Ref"
"Spring","IMS","Ref",2,417.70758662,0,"Ref"
"Spring","IMS","Ref",3,1050.9355852,0,"Ref"
"Spring","IMS","LoRef",1,610.16380466,0,"LoRef"
"Spring","IMS","HiRef",1,1477.8529556,0,"HiRef"
"Spring","Carrot","LO",1,927.08515704,2,"oyster"
"Spring","Carrot","LO",2,470.7085715,2,"oyster"
"Spring","Carrot","LO",3,1063.22052542,2,"oyster"
"Spring","Carrot","HO",1,715.80170138,2,"oyster"
"Spring","Carrot","HO",2,428.61821562,2,"oyster"
"Spring","Carrot","HO",3,862.22990978,2,"oyster"
"Spring","Carrot","LM",1,136.37964416,2,"marsh"
"Spring","Carrot","LM",2,344.0827469,2,"marsh"
"Spring","Carrot","LM",3,956.44434756,2,"marsh"
"Spring","Carrot","MM",1,360.7968226,2,"marsh"
"Spring","Carrot","MM",2,390.89921336,2,"marsh"
"Spring","Carrot","MM",3,323.08638886,2,"marsh"
"Spring","Carrot","HM",1,524.61549888,2,"marsh"
"Spring","Carrot","HM",2,624.2395988,2,"marsh"
"Spring","Carrot","HM",3,501.55188158,2,"marsh"
"Spring","Carrot","Ref",1,2328.1906396,2,"Ref"
"Spring","Carrot","Ref",2,2197.7367718,2,"Ref"
"Spring","Carrot","Ref",3,1040.41373656,2,"Ref"
"Spring","Carrot","LoRef",1,518.55408122,2,"LoRef"
"Spring","Carrot","HiRef",1,404.45863538,2,"HiRef"
"Spring","NOAA","LO",1,1272.26953125,7,"oyster"
"Spring","NOAA","LO",2,1540.925529,7,"oyster"
"Spring","NOAA","LO",3,2362.85006675,7,"oyster"
"Spring","NOAA","HO",1,2399.8364995,7,"oyster"
"Spring","NOAA","HO",2,1671.443227,7,"oyster"
"Spring","NOAA","HO",3,750.0171849,7,"oyster"
"Spring","NOAA","LM",1,2247.849053,7,"marsh"
"Spring","NOAA","LM",2,2616.7269025,7,"marsh"
"Spring","NOAA","LM",3,2460.7965635,7,"marsh"
"Spring","NOAA","MM",1,1887.5957075,7,"marsh"
"Spring","NOAA","MM",2,2529.62355425,7,"marsh"
"Spring","NOAA","MM",3,2134.32781675,7,"marsh"
"Spring","NOAA","HM",1,738.538911875,7,"marsh"
"Spring","NOAA","HM",2,431.4906092,7,"marsh"
"Spring","NOAA","HM",3,704.81779895,7,"marsh"
"Spring","NOAA","Ref",1,1240.723588,7,"Ref"
"Spring","NOAA","Ref",2,1534.5939925,7,"Ref"
"Spring","NOAA","Ref",3,1510.14978425,7,"Ref"
"Spring","NOAA","LoRef",1,1094.540278,7,"LoRef"
"Spring","NOAA","HiRef",1,214.5534864,7,"HiRef"
"Spring","Army","LO",1,364.36105446,20,"oyster"
"Spring","Army","LO",2,694.15684382,20,"oyster"
"Spring","Army","LO",3,250.63345238,20,"oyster"
"Spring","Army","HO",1,196.695611444,20,"oyster"
"Spring","Army","HO",2,94.198703966,20,"oyster"
"Spring","Army","HO",3,459.88811764,20,"oyster"
"Spring","Army","LM",1,331.57563778,20,"marsh"
"Spring","Army","LM",2,212.4570085,20,"marsh"
"Spring","Army","LM",3,332.03603534,20,"marsh"
"Spring","Army","MM",1,628.20499894,20,"marsh"
"Spring","Army","MM",2,297.23607726,20,"marsh"
"Spring","Army","MM",3,453.97732354,20,"marsh"
"Spring","Army","HM",1,185.334960574,20,"marsh"
"Spring","Army","HM",2,1269.84521754,20,"marsh"
"Spring","Army","HM",3,507.7379301,20,"marsh"
"Spring","Army","Ref",1,161.533104259,20,"Ref"
"Spring","Army","Ref",2,228.59529612,20,"Ref"
"Spring","Army","Ref",3,317.57355758,20,"Ref"
"Spring","Army","LoRef",1,1366.8856062,20,"LoRef"
"Spring","Army","HiRef",1,285.46826482,20,"HiRef"
"Summer15","IMS","LO",1,1773.490261,0,"oyster"
"Summer15","IMS","LO",2,378.83827816,0,"oyster"
"Summer15","IMS","LO",3,2507.8285746,0,"oyster"
"Summer15","IMS","HO",1,637.21466648,0,"oyster"
"Summer15","IMS","HO",2,667.61620552,0,"oyster"
"Summer15","IMS","HO",3,458.60580698,0,"oyster"
"Summer15","IMS","MM",1,1725.3485646,0,"marsh"
"Summer15","IMS","MM",2,1822.1446968,0,"marsh"
"Summer15","IMS","MM",3,2213.6770706,0,"marsh"
"Summer15","Carrot","LO",1,982.9481224,2,"oyster"
"Summer15","Carrot","LO",2,500.819662516667,2,"oyster"
"Summer15","Carrot","LO",3,400.142043416667,2,"oyster"
"Summer15","Carrot","HO",1,1341.260174,2,"oyster"
"Summer15","Carrot","HO",2,1522.539878,2,"oyster"
"Summer15","Carrot","HO",3,2605.41206383333,2,"oyster"
"Summer15","Carrot","MM",1,829.326335466667,2,"marsh"
"Summer15","Carrot","MM",2,511.0139196,2,"marsh"
"Summer15","Carrot","MM",3,841.878864816667,2,"marsh"
"Summer15","NOAA","LO",1,503.5724509,7,"oyster"
"Summer15","NOAA","LO",2,747.0502357,7,"oyster"
"Summer15","NOAA","LO",3,342.37088974,7,"oyster"
"Summer15","NOAA","HO",1,299.15661168,7,"oyster"
"Summer15","NOAA","HO",2,2525.6707874,7,"oyster"
"Summer15","NOAA","HO",3,472.96682314,7,"oyster"
"Summer15","NOAA","MM",1,2231.10812648,7,"marsh"
"Summer15","NOAA","MM",2,1998.84340958,7,"marsh"
"Summer15","NOAA","MM",3,2230.100338,7,"marsh"
"Summer15","Army","LO",1,2061.85447083333,20,"oyster"
"Summer15","Army","LO",2,538.648238816667,20,"oyster"
"Summer15","Army","LO",3,500.908992316667,20,"oyster"
"Summer15","Army","HO",1,838.36729165,20,"oyster"
"Summer15","Army","HO",2,719.445579983333,20,"oyster"
"Summer15","Army","HO",3,1728.25198245,20,"oyster"
"Summer15","Army","MM",1,1358.08105933333,20,"marsh"
"Summer15","Army","MM",2,926.020329033333,20,"marsh"
"Summer15","Army","MM",3,1073.31946773333,20,"marsh"
