Season,Site,CoreName,CoreNo,chla_conc,phaeo_conc,chl_phaeo_ratio
Summer,NOAA,LO,1,84.11681416,39.93185841,1.373690338
Summer,NOAA,LO,2,64.03274336,21.80893805,1.439716312
Summer,NOAA,LO,3,77.02831858,35.77327434,1.385604113
Summer,NOAA,HO,1,80.1,25.4240708,1.450724638
Summer,NOAA,HO,2,112.7070796,30.19699115,1.477659574
Summer,NOAA,HO,3,19.13893805,111.3602655,1.067643743
Summer,NOAA,LM,1,63.56017699,24.43168142,1.449557522
Summer,NOAA,LM,2,79.39115044,20.17858407,1.463450292
Summer,NOAA,LM,3,59.30707965,16.77610619,1.464788732
Summer,NOAA,MM,1,111.0530973,13.32637168,1.51686747
Summer,NOAA,MM,2,85.29823009,15.92548673,1.504587156
Summer,NOAA,MM,3,105.1460177,27.00716814,1.490588235
Summer,NOAA,HM,1,45.83893805,6.923097345,1.501385042
Summer,NOAA,HM,2,44.65752212,3.142566372,1.590322581
Summer,NOAA,HM,3,44.89380531,12.3339823,1.474093264
Summer,NOAA,Ref,1,58.12566372,3.402477876,1.591370558
Summer,NOAA,Ref,2,104.4371681,10.51460177,1.552910053
Summer,NOAA,Ref,3,75.61061947,5.103716814,1.573076923
Summer,Army,LO,1,81.7539823,21.12371681,1.478893741
Summer,Army,LO,2,60.96106195,23.06123894,1.439579685
Summer,Army,LO,3,68.75840708,21.71442478,1.411764706
Summer,Army,HO,1,100.420354,19.49336283,1.524234694
Summer,Army,HO,2,152.8752212,21.12371681,1.563685637
Summer,Army,HO,3,115.7787611,22.99035398,1.510964912
Summer,Army,LM,1,92.85929204,32.51256637,1.460431655
Summer,Army,LM,2,74.19292035,36.12769912,1.439632546
Summer,Army,LM,3,105.3823009,41.82212389,1.405893536
Summer,Army,MM,1,76.55575221,26.98353982,1.43852459
Summer,Army,MM,2,80.57256637,23.13212389,1.481792717
Summer,Army,MM,3,81.99026549,27.66876106,1.442159383
Summer,Army,HM,1,170.360177,13.39725664,1.605263158
Summer,Army,HM,2,165.3982301,5.458141593,1.599504542
Summer,Army,HM,3,293.7,-19.13893805,1.659031754
Summer,Army,Ref,1,136.8079646,26.27469027,1.492779783
Summer,Army,Ref,2,165.1619469,31.33115044,1.498060512
Summer,Army,Ref,3,144.1327434,29.53539823,1.497816594
Summer,Carrot,LO,1,22.21061947,1.606725664,1.35
Summer,Carrot,LO,2,31.6619469,-3.213451327,1.744186047
Summer,Carrot,LO,3,21.7380531,1.086902655,1.5
Summer,Carrot,HO,1,72.30265487,8.246283186,1.581162325
Summer,Carrot,HO,2,80.33628319,12.78292035,1.57591623
Summer,Carrot,HO,3,107.2725664,20.41486726,1.528279182
Summer,Carrot,LM,1,37.80530973,7.51380531,1.425149701
Summer,Carrot,LM,2,3.544247788,0.921504425,1.441176471
Summer,Carrot,LM,3,8.50619469,10.68,1.218543046
Summer,Carrot,MM,1,40.64070796,-4.087699115,1.720338983
Summer,Carrot,MM,2,45.36637168,-5.50539823,1.818181818
Summer,Carrot,MM,3,46.54778761,-5.694424779,1.742424242
Summer,Carrot,HM,1,34.49734513,-7.041238938,1.867924528
Summer,Carrot,HM,2,34.49734513,-5.056460177,1.776595745
Summer,Carrot,HM,3,37.80530973,-6.545044248,1.829268293
Summer,Carrot,Ref,1,33.55221239,-5.269115044,1.758241758
Summer,Carrot,Ref,2,39.22300885,-6.143362832,1.823232323
Summer,Carrot,Ref,3,24.80973451,-4.134955752,1.692857143
Summer,IMS,LO,1,116.4876106,-3.851415929,1.658503401
Summer,IMS,LO,2,155.7106195,17.13053097,1.574817518
Summer,IMS,LO,3,151.4575221,1.535840708,1.687184662
Summer,IMS,HO,1,139.879646,5.00920354,1.634573304
Summer,IMS,HO,2,155.9469027,-0.803362832,1.628968254
Summer,IMS,HO,3,152.8752212,12.02681416,1.581506196
Summer,IMS,BTO,1,148.3858407,-2.67,1.610882957
Summer,IMS,BTO,2,208.6380531,-5.694424779,1.655011655
Summer,IMS,BTO,3,116.4876106,15.0039823,1.561176471
Summer,IMS,MM,1,79.62743363,-8.67159292,1.628450106
Summer,IMS,MM,2,132.0823009,-10.01840708,1.655430712
Summer,IMS,MM,3,119.0867257,-11.90867257,1.694890511
Summer,IMS,Ref,1,162.799115,-23.03761062,1.717892426
Summer,IMS,Ref,2,143.8964602,-10.4200885,1.680751174
Summer,IMS,Ref,3,139.879646,-6.403274336,1.625284738
Fall,Carrot,LO,1,78.68230088,1.866637168,1.6
Fall,Carrot,LO,2,221.1610619,-183.2848673,4.105084746
Fall,Carrot,LO,3,89.55132743,13.16097345,1.532428356
Fall,Carrot,HO,1,202.4946903,-15.26389381,1.662052117
Fall,Carrot,HO,2,152.4026549,-5.859823009,1.559475806
Fall,Carrot,HO,3,242.4265487,-12.19221239,1.64023984
Fall,Carrot,LM,1,164.2168142,-24.12451327,1.747767857
Fall,Carrot,LM,2,186.9,-28.61389381,1.717181467
Fall,Carrot,LM,3,249.0424779,-26.25106195,1.720682303
Fall,Carrot,MM,1,84.35309735,-11.41247788,1.705761317
Fall,Carrot,MM,2,113.8884956,-17.46132743,1.729984301
Fall,Carrot,MM,3,50.32831858,-5.83619469,1.734317343
Fall,Carrot,HM,1,26.7,-6.356017699,1.7
Fall,Carrot,HM,2,36.15132743,-4.229469027,1.751322751
Fall,Carrot,HM,3,39.69557522,-9.923893805,1.859550562
Fall,Carrot,Ref,1,162.799115,-24.85699115,1.684497817
Fall,Carrot,Ref,2,160.9088496,-28.92106195,1.771257485
Fall,Carrot,Ref,3,134.2088496,-17.76849558,1.756606398
Fall,Carrot,LoRef,1,187.8451327,-33.03238938,1.752763819
Fall,Carrot,HiRef,1,29.77168142,-8.104513274,1.690322581
Fall,IMS,HO,1,293.7,53.96707965,1.516869096
Fall,IMS,HO,2,189.2628319,26.08566372,1.531563845
Fall,IMS,HO,3,-4.253097345,446.3625664,0.984604106
Fall,IMS,LO,1,166.1070796,2.102920354,1.58765653
Fall,IMS,LO,2,153.820354,32.58345133,1.50210615
Fall,IMS,LO,3,157.8371681,-9.309557522,1.641025641
Fall,IMS,MM,1,102.0743363,-9.782123894,1.685470085
Fall,IMS,MM,2,215.4902655,-29.41725664,1.705638474
Fall,IMS,MM,3,247.8610619,-17.62672566,1.671917808
Fall,IMS,Ref,1,145.7867257,406.6433628,1.143018655
Fall,IMS,Ref,2,310.0035398,12.68840708,1.583493282
Fall,IMS,Ref,3,347.1,3.378849558,1.595633188
Fall,IMS,LoRef,1,173.6681416,27.45610619,1.511969112
Fall,IMS,HiRef,1,53.16371681,-6.521415929,1.633757962
Fall,Army,LO,1,77.97345133,31.0239823,1.448275862
Fall,Army,LO,2,50.56460177,21.21823009,1.442477876
Fall,Army,LO,3,46.07522124,17.60309735,1.45
Fall,Army,HO,1,103.7283186,33.0560177,1.483796296
Fall,Army,HO,2,95.45840708,37.85256637,1.44032445
Fall,Army,HO,3,116.960177,48.76884956,1.460793804
Fall,Army,LM,1,117.4327434,43.66513274,1.467307692
Fall,Army,LM,2,103.9646018,26.7,1.491309386
Fall,Army,LM,3,125.7026549,40.6879646,1.483992467
Fall,Army,MM,1,125.9389381,22.91946903,1.535353535
Fall,Army,MM,2,97.82123894,26.72362832,1.518564356
Fall,Army,MM,3,143.660177,26.36920354,1.5625
Fall,Army,HM,1,122.8672566,28.47212389,1.512537613
Fall,Army,HM,2,192.8070796,126.080708,1.389934149
Fall,Army,HM,3,162.3265487,64.10362832,1.45750332
Fall,Army,Ref,1,77.02831858,41.72761062,1.406451613
Fall,Army,Ref,2,50.80088496,24.2899115,1.395582329
Fall,Army,Ref,3,40.40442478,21.12371681,1.399484536
Fall,Army,LoRef,1,25.99115044,25.77849558,1.216802168
Fall,Army,HiRef,1,100.420354,27.59787611,1.493218249
Fall,NOAA,LO,1,84.82566372,38.3960177,1.421580928
Fall,NOAA,LO,2,88.84247788,53.73079646,1.386666667
Fall,NOAA,LO,3,70.17610619,34.35557522,1.4
Fall,NOAA,HO,1,115.0699115,64.05637168,1.422421525
Fall,NOAA,HO,2,150.039823,65.63946903,1.512801756
Fall,NOAA,HO,3,68.52212389,55.19575221,1.344516129
Fall,NOAA,LM,1,64.74159292,28.21221239,1.399022801
Fall,NOAA,LM,2,58.3619469,31.44929204,1.346938776
Fall,NOAA,LM,3,55.0539823,34.09566372,1.334943639
Fall,NOAA,MM,1,72.06637168,33.29230088,1.405444126
Fall,NOAA,MM,2,108.2176991,22.94309735,1.519855596
Fall,NOAA,MM,3,98.76637168,35.20619469,1.444191344
Fall,NOAA,HM,1,93.09557522,6.308761062,1.629690049
Fall,NOAA,HM,2,247.6247788,14.03522124,1.632092739
Fall,NOAA,HM,3,128.0654867,19.9659292,1.56656017
Fall,NOAA,Ref,1,89.31504425,2.811769912,1.595197256
Fall,NOAA,Ref,2,133.2637168,-0.283539823,1.590804598
Fall,NOAA,Ref,3,175.3221239,-14.05884956,1.691321499
Fall,NOAA,LoRef,1,14.88584071,5.623539823,1.403846154
Fall,NOAA,HiRef,1,55.29026549,-5.00920354,1.802013423
Winter,Army,LO,1,107.5088496,15.87823009,1.317474048
Winter,Army,LO,2,141.7699115,36.19858407,1.264688427
Winter,Army,LO,3,96.87610619,35.77327434,1.250510551
Winter,Army,HO,1,107.7451327,9.026017699,1.252387449
Winter,Army,HO,2,57.18053097,40.73522124,1.102631579
Winter,Army,HO,3,31.42566372,29.1100885,1.070324575
Winter,Army,LM,1,26.7,29.20460177,1.093343535
Winter,Army,LM,2,55.52654867,14.60230088,1.144436766
Winter,Army,LM,3,94.27699115,11.74327434,1.204545455
Winter,Army,MM,1,81.04513274,52.7620354,1.147898287
Winter,Army,MM,2,37.09646018,11.19982301,1.091233072
Winter,Army,MM,3,76.31946903,23.74646018,1.13911525
Winter,Army,HM,1,77.26460177,40.16814159,1.192307692
Winter,Army,HM,2,150.5123894,16.04362832,1.276020174
Winter,Army,HM,3,170.360177,43.66513274,1.292233787
Winter,Army,Ref,1,82.93539823,25.89663717,1.152580828
Winter,Army,Ref,2,69.70353982,15.31115044,1.145261845
Winter,Army,Ref,3,40.87699115,19.49336283,1.158263305
Winter,Army,LoRef,1,114.5973451,-11.22345133,1.264586944
Winter,Army,HiRef,1,67.81327434,14.55504425,1.151553583
Winter,NOAA,LO,1,102.0743363,36.69477876,1.393617021
Winter,NOAA,LO,2,128.3017699,35.93867257,1.467726848
Winter,NOAA,LO,3,86.00707965,57.88938053,1.341772152
Winter,NOAA,HO,1,92.38672566,37.78168142,1.405063291
Winter,NOAA,HO,2,90.73274336,28.18858407,1.402200489
Winter,NOAA,HO,3,104.9097345,35.67876106,1.384778013
Winter,NOAA,LM,1,94.04070796,53.16371681,1.3336714
Winter,NOAA,LM,2,22.68318584,21.14734513,1.259375
Winter,NOAA,LM,3,60.96106195,19.75327434,1.434397163
Winter,NOAA,MM,1,52.69115044,29.84256637,1.266897747
Winter,NOAA,MM,2,78.91858407,51.24982301,1.326160815
Winter,NOAA,MM,3,38.04159292,28.77929204,1.373626374
Winter,NOAA,HM,1,32.60707965,12.21584071,1.317220544
Winter,NOAA,HM,2,49.38318584,3.875044248,1.590116279
Winter,NOAA,HM,3,38.04159292,7.277522124,1.453416149
Winter,NOAA,Ref,1,111.9982301,13.20823009,1.535971223
Winter,NOAA,Ref,2,90.73274336,14.12973451,1.438095238
Winter,NOAA,Ref,3,90.26017699,20.06044248,1.504867872
Winter,NOAA,LoRef,1,95.45840708,8.742477876,1.422626788
Winter,NOAA,HiRef,1,79.39115044,2.480973451,1.64990689
Winter,Carrot,LO,1,56.23539823,-3.638761062,1.606951872
Winter,Carrot,LO,2,74.19292035,-1.913893805,1.671081678
Winter,Carrot,LO,3,54.34513274,0.732477876,1.592991914
Winter,Carrot,HO,1,152.8752212,65.45044248,1.445082556
Winter,Carrot,HO,2,143.660177,1.394070796,1.636167922
Winter,Carrot,HO,3,151.4575221,42.38920354,1.495114007
Winter,Carrot,LM,1,97.34867257,-11.50699115,1.711743772
Winter,Carrot,LM,2,97.82123894,-14.46053097,1.754716981
Winter,Carrot,LM,3,79.62743363,-10.98716814,1.748971193
Winter,Carrot,MM,1,115.3061947,-18.54823009,1.763955343
Winter,Carrot,MM,2,88.60619469,-13.68079646,1.804301075
Winter,Carrot,MM,3,105.8548673,-15.3820354,1.752981261
Winter,Carrot,HM,1,8.269911504,6.946725664,1.369565217
Winter,Carrot,HM,2,21.02920354,-4.158584071,1.795081967
Winter,Carrot,HM,3,20.0840708,-2.221061947,1.779816514
Winter,Carrot,Ref,1,44.18495575,53.23460177,1.287051482
Winter,Carrot,Ref,2,130.6646018,-7.277522124,1.654040404
Winter,Carrot,Ref,3,99.71150442,-4.607522124,1.615629984
Winter,Carrot,LoRef,1,57.65309735,-9.356814159,1.762658228
Winter,Carrot,HiRef,1,14.41327434,-1.84300885,1.847058824
Winter,IMS,LO,1,134.9176991,-16.98876106,1.765333333
Winter,IMS,LO,2,117.6690265,-9.002389381,1.656634747
Winter,IMS,LO,3,160.6725664,9.191415929,1.587155963
Winter,IMS,HO,1,156.1831858,51.39159292,1.458117124
Winter,IMS,HO,2,116.4876106,25.4240708,1.53820598
Winter,IMS,HO,3,131.6097345,69.84530973,1.395881007
Winter,IMS,MM,1,150.7486726,-3.544247788,1.630526316
Winter,IMS,MM,2,116.4876106,-19.89504425,1.858730159
Winter,IMS,MM,3,78.4460177,-1.370442478,1.630218688
Winter,IMS,Ref,1,167.2884956,-8.01,1.718657453
Winter,IMS,Ref,2,161.1451327,-3.189823009,1.644941634
Winter,IMS,Ref,3,160.4362832,-7.773716814,1.637007078
Winter,IMS,LoRef,1,115.7787611,-10.25469027,1.675324675
Winter,IMS,HiRef,1,177.2123894,-38.27787611,1.858468677
Spring,Carrot,LO,1,35.20619469,-3.118938053,1.66509434
Spring,Carrot,LO,2,52.45486726,-4.323982301,1.656441718
Spring,Carrot,LO,3,68.28584071,1.181415929,1.609865471
Spring,Carrot,HO,1,104.9097345,-20.7220354,1.780399274
Spring,Carrot,HO,2,114.8336283,-24.69159292,1.85483871
Spring,Carrot,HO,3,122.8672566,-16.84699115,1.76035503
Spring,Carrot,LM,1,100.420354,-23.17938053,1.870563674
Spring,Carrot,LM,2,108.4539823,-25.4240708,1.837383178
Spring,Carrot,LM,3,110.580531,-23.08486726,1.872897196
Spring,Carrot,MM,1,51.03716814,-8.695221239,1.701342282
Spring,Carrot,MM,3,67.57699115,-14.81495575,1.860606061
Spring,Carrot,HM,1,18.19380531,-3.307964602,1.640350877
Spring,Carrot,HM,2,13.70442478,-0.968761062,1.634146341
Spring,Carrot,HM,3,15.59469027,-2.032035398,1.59223301
Spring,Carrot,Ref,1,116.7238938,-18.14654867,1.784665579
Spring,Carrot,Ref,2,104.9097345,-17.74486726,1.771276596
Spring,Carrot,Ref,3,94.51327434,-18.59548673,1.828025478
Spring,Carrot,LoRef,1,80.80884956,-13.82256637,1.744292237
Spring,Carrot,HiRef,1,53.4,-11.38884956,1.868217054
Spring,IMS,MM,1,131.6097345,-3.591504425,1.631325301
Spring,IMS,MM,2,114.5973451,-2.788141593,1.610526316
Spring,IMS,MM,3,129.9557522,-12.85380531,1.704244032
Spring,IMS,LO,1,103.9646018,1.228672566,1.588064047
Spring,IMS,LO,2,97.34867257,0.070884956,1.607535322
Spring,IMS,LO,3,59.07079646,-6.143362832,1.708333333
Spring,IMS,HO,1,135.3902655,16.11451327,1.524524525
Spring,IMS,HO,2,72.77522124,11.08168142,1.455592105
Spring,IMS,HO,3,138.2256637,28.66115044,1.498171846
Spring,IMS,Ref,1,111.2893805,-14.53141593,1.743421053
Spring,IMS,Ref,2,80.33628319,-12.68840708,1.744920993
Spring,IMS,Ref,3,92.38672566,-16.96513274,1.864806867
Spring,IMS,LoRef,1,93.80442478,-12.42849558,1.727099237
Spring,IMS,HiRef,1,133.0274336,-15.42929204,1.729364005
Spring,NOAA,LM,1,63.56017699,21.95070796,1.398305085
Spring,NOAA,LM,2,74.90176991,22.35238938,1.448979592
Spring,NOAA,LM,3,80.1,23.43929204,1.441558442
Spring,NOAA,MM,1,87.66106195,24.80973451,1.48582996
Spring,NOAA,MM,2,80.1,26.25106195,1.408469945
Spring,NOAA,MM,3,95.93097345,16.70522124,1.458333333
Spring,NOAA,HM,1,46.07522124,-1.913893805,1.275590551
Spring,NOAA,HM,2,51.50973451,4.394867257,1.707865169
Spring,NOAA,HM,3,63.79646018,-3.591504425,1.653266332
Spring,NOAA,LO,1,98.29380531,12.85380531,1.52704577
Spring,NOAA,LO,2,79.39115044,10.58548673,1.533783784
Spring,NOAA,LO,3,116.7238938,30.6459292,1.427845528
Spring,NOAA,HO,1,115.5424779,47.20938053,1.423636364
Spring,NOAA,HO,2,111.5256637,37.16734513,1.435185185
Spring,NOAA,HO,3,82.69911504,11.24707965,1.474674385
Spring,NOAA,Ref,1,75.1380531,3.260707965,1.593688363
Spring,NOAA,Ref,2,148.1495575,-0.283539823,1.61954262
Spring,NOAA,Ref,3,128.5380531,0.472566372,1.600719424
Spring,NOAA,LoRef,1,73.72035398,11.29433628,1.545293073
Spring,NOAA,HiRef,1,57.18053097,-3.756902655,1.670391061
Spring,Army,LO,1,57.88938053,13.56265487,1.475308642
Spring,Army,LO,2,53.4,5.977964602,1.472222222
Spring,Army,LO,3,93.09557522,14.24787611,1.528169014
Spring,Army,HO,1,84.35309735,10.25469027,1.504587156
Spring,Army,HO,2,68.28584071,16.06725664,1.464098074
Spring,Army,HO,3,72.30265487,21.14734513,1.445482866
Spring,Army,LM,1,53.63628319,15.99637168,1.43852459
Spring,Army,LM,2,70.17610619,14.01159292,1.454545455
Spring,Army,LM,3,76.7920354,22.77769912,1.433285509
Spring,Army,MM,1,85.29823009,17.24867257,1.492350487
Spring,Army,MM,2,67.10442478,30.31513274,1.402349486
Spring,Army,MM,3,68.04955752,27.05442478,1.393632417
Spring,Army,HM,1,117.1964602,15.45292035,1.51059322
Spring,Army,HM,2,164.6893805,15.26389381,1.582137161
Spring,Army,HM,3,152.1663717,6.450530973,1.625116279
Spring,Army,Ref,1,55.29026549,13.01920354,1.459459459
Spring,Army,Ref,2,40.40442478,8.388053097,1.454005935
Spring,Army,Ref,3,50.0920354,11.10530973,1.441176471
Spring,Army,LoRef,1,20.79292035,10.79814159,1.404444444
Spring,Army,HiRef,1,76.08318584,7.608318584,1.541012216
Summer15,NOAA,LO,1,34.26106195,7.088495575,1.484320557
Summer15,NOAA,LO,2,36.62389381,4.394867257,1.609848485
Summer15,NOAA,LO,3,53.16371681,9.522212389,1.538860104
Summer15,NOAA,HO,1,92.62300885,13.56265487,1.515064562
Summer15,NOAA,HO,2,99.00265487,49.19415929,1.426282051
Summer15,NOAA,HO,3,56.7079646,21.02920354,1.409708738
Summer15,NOAA,MM,1,70.88495575,22.23424779,1.464646465
Summer15,NOAA,MM,2,40.87699115,18.33557522,1.462686567
Summer15,NOAA,MM,3,63.79646018,14.10610619,1.65
Summer15,IMS,LO,1,137.7530973,-26.60548673,1.830725462
Summer15,IMS,LO,2,99.94778761,-9.805752212,1.717277487
Summer15,IMS,LO,3,134.9176991,-16.16176991,1.730053191
Summer15,IMS,HO,1,79.15486726,2.882654867,1.639534884
Summer15,IMS,HO,2,120.2681416,-5.812566372,1.672153635
Summer15,IMS,HO,3,128.7743363,8.83699115,1.595596756
Summer15,IMS,MM,1,110.1079646,-5.907079646,1.658208955
Summer15,IMS,MM,2,201.0769912,-21.28911504,1.737030411
Summer15,IMS,MM,3,205.5663717,-27.92867257,1.716157205
Summer15,Army,LO,1,64.26902655,22.56504425,1.440972222
Summer15,Army,LO,2,36.86017699,21.85619469,1.362433862
Summer15,Army,LO,3,61.90619469,20.62752212,1.451016636
Summer15,Army,HO,1,33.55221239,22.35238938,1.369014085
Summer15,Army,HO,2,44.18495575,16.02,1.446194226
Summer15,Army,HO,3,36.62389381,11.34159292,1.431677019
Summer15,Army,MM,1,38.51415929,25.32955752,1.352668213
Summer15,Army,MM,2,35.91504425,23.29752212,1.328638498
Summer15,Army,MM,3,25.28230088,16.3980531,1.335664336
Summer15,Carrot,LO,1,87.18849558,18.17017699,1.482662968
Summer15,Carrot,LO,2,12.99557522,75.49247788,1.044207317
Summer15,Carrot,LO,3,39.45929204,-5.552654867,1.713636364
Summer15,Carrot,HO,1,106.3274336,16.23265487,1.536069652
Summer15,Carrot,HO,2,110.1079646,12.45212389,1.580769231
Summer15,Carrot,HO,3,134.9176991,6.828584071,1.568230277
Summer15,Carrot,MM,1,158.3097345,-15.90185841,1.713971397
Summer15,Carrot,MM,2,104.200885,-15.71283186,1.718855219
Summer15,Carrot,MM,3,182.8831858,-29.72442478,1.734406439
